Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
0,0.0,-0.005658,-0.004003,-0.714846,0.699248,-13.908604,-570.875671,106.522697,,,,
1,0.01,-0.00505,-0.004388,-0.714691,0.699408,-13.916856,-570.823669,106.486252,0.14037683803105588,0.03303587330100513,0.04362932616380766,0.15066699599403074
2,0.02,-0.005997,-0.003923,-0.714706,0.699388,-13.932811,-570.854614,106.514343,-0.19896758895912095,-0.07031996406277434,-0.0036562523943017844,0.21106010277540949
3,0.03,-0.006029,-0.003856,-0.714949,0.69914,-13.924686,-570.882446,106.519028,-0.014541255328696066,0.004894555118473316,-0.06933422041072168,0.07101154058534881
4,0.04,-0.005103,-0.0045,-0.714737,0.69936,-13.925425,-570.825378,106.482964,0.22199496188295462,0.04227336334747759,0.059610634268703055,0.23371398774579027
5,0.05,-0.005235,-0.004144,-0.715035,0.699056,-13.933133,-570.873169,106.507149,-0.06993088976211745,0.03095593567380055,-0.08465579127177048,0.11408418949272274
6,0.06,-0.004368,-0.004942,-0.714841,0.699256,-13.902819,-570.821533,106.46019,0.23570619769044468,0.012380379392557678,0.054170723420621236,0.24216761282117
7,0.07,-0.004886,-0.004162,-0.715,0.699095,-13.897294,-570.86853,106.480621,-0.1842559112038544,0.03500617619688643,-0.0440608190270253,0.19265780274575542
8,0.08,-0.005495,-0.004014,-0.71498,0.699112,-13.902205,-570.880188,106.498375,-0.10628049410367421,-0.06639917089385347,0.005878936287495584,0.1254549927830085
9,0.09,-0.004278,-0.004787,-0.71495,0.699146,-13.892599,-570.850159,106.463394,0.2807611984961993,0.06593773723158275,0.007230000877145315,0.2884907428062935
10,0.1,-0.005088,-0.004482,-0.715329,0.698755,-14.046346,-570.872131,106.492836,-0.15757099991844042,-0.07322406672797872,-0.10786790734549356,0.2045137388993136
