Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
0,0.000000,-0.009575,0.000773,-0.721187,0.692674,-357.751617,1437.135620,110.464569
1,0.010000,-0.009631,0.000807,-0.721169,0.692692,-357.743896,1437.132935,110.466103
2,0.020000,-0.009575,0.000923,-0.721174,0.692687,-357.750153,1437.143433,110.481323
3,0.030000,-0.009546,0.000792,-0.721198,0.692662,-357.764862,1437.141968,110.494820
4,0.040000,-0.009673,0.000936,-0.721215,0.692643,-357.761230,1437.134888,110.483963
5,0.050000,-0.009597,0.000922,-0.721089,0.692775,-357.744446,1437.134399,110.477798
6,0.060000,-0.009612,0.000888,-0.721078,0.692786,-357.746796,1437.137573,110.477180
7,0.070000,-0.009516,0.000903,-0.721149,0.692714,-357.744904,1437.135742,110.478821
8,0.080000,-0.009582,0.000884,-0.721198,0.692662,-357.749054,1437.147949,110.483131
9,0.090000,-0.009624,0.000904,-0.721177,0.692683,-357.748138,1437.147949,110.487434
10,0.100000,-0.009594,0.000898,-0.721074,0.692791,-357.747620,1437.145020,110.484497
11,0.110000,-0.009552,0.001016,-0.721068,0.692797,-357.750580,1437.137817,110.473778
12,0.120000,-0.009483,0.000847,-0.721158,0.692705,-357.759888,1437.130249,110.474342
13,0.130000,-0.009510,0.000886,-0.721115,0.692749,-357.749695,1437.135742,110.477242
14,0.140000,-0.009564,0.000747,-0.721234,0.692625,-357.752319,1437.135620,110.486275
15,0.150000,-0.009575,0.000943,-0.721174,0.692687,-357.739960,1437.148071,110.482231
16,0.160000,-0.009599,0.000883,-0.721127,0.692735,-357.744720,1437.141968,110.477959
17,0.170000,-0.009540,0.000800,-0.721104,0.692760,-357.750336,1437.136597,110.472481
18,0.180000,-0.009530,0.000793,-0.721090,0.692776,-357.751740,1437.130859,110.470573
19,0.190000,-0.009512,0.000726,-0.721158,0.692705,-357.757263,1437.140625,110.483704
20,0.200000,-0.009671,0.000895,-0.721147,0.692714,-357.752594,1437.153809,110.491547
21,0.210000,-0.009639,0.000774,-0.721208,0.692651,-357.761353,1437.142090,110.486954
22,0.220000,-0.009516,0.000859,-0.721159,0.692703,-357.752045,1437.131836,110.475571
23,0.230000,-0.009550,0.000731,-0.721052,0.692815,-357.747772,1437.127075,110.470451
24,0.240000,-0.009529,0.000798,-0.721086,0.692779,-357.741974,1437.134766,110.463394
25,0.250000,-0.009489,0.000918,-0.721144,0.692719,-357.746735,1437.140137,110.472008
26,0.260000,-0.009553,0.000929,-0.721185,0.692676,-357.756744,1437.139648,110.480713
27,0.270000,-0.009528,0.000825,-0.721191,0.692670,-357.751801,1437.142822,110.482033
